Developer	Title/Application	Product Type Identifier	Units	Partner Share	Partner Share Currency	Customer Price	Customer Currency	Country Code	Apple Identifier	Vendor Identifier
Nic Carter	PocketSword	1	2473	0	USD	0	USD	US	341046078	PocketSword.niccarter
Nic Carter	PocketSword	1	176	0	GBP	0	GBP	GB	341046078	PocketSword.niccarter
Nic Carter	PocketSword	1	163	0	USD	0	USD	SG	341046078	PocketSword.niccarter
Nic Carter	PocketSword	1	145	0	CAD	0	CAD	CA	341046078	PocketSword.niccarter
Nic Carter	PocketSword	1	142	0	AUD	0	AUD	AU	341046078	PocketSword.niccarter
Nic Carter	PocketSword	1	60	0	USD	0	USD	ZA	341046078	PocketSword.niccarter
Nic Carter	PocketSword	1	24	0	USD	0	USD	KR	341046078	PocketSword.niccarter
Nic Carter	PocketSword	1	23	0	USD	0	USD	PH	341046078	PocketSword.niccarter
Nic Carter	PocketSword	1	21	0	AUD	0	NZD	NZ	341046078	PocketSword.niccarter
Nic Carter	PocketSword	1	19	0	EUR	0	EUR	DE	341046078	PocketSword.niccarter
Nic Carter	PocketSword	1	15	0	EUR	0	EUR	GR	341046078	PocketSword.niccarter
Nic Carter	PocketSword	1	15	0	USD	0	USD	HK	341046078	PocketSword.niccarter
Nic Carter	PocketSword	1	14	0	JPY	0	JPY	JP	341046078	PocketSword.niccarter
Nic Carter	PocketSword	1	11	0	USD	0	USD	MY	341046078	PocketSword.niccarter
Nic Carter	PocketSword	1	10	0	EUR	0	CHF	CH	341046078	PocketSword.niccarter
Nic Carter	PocketSword	1	10	0	EUR	0	EUR	FR	341046078	PocketSword.niccarter
Nic Carter	PocketSword	1	10	0	EUR	0	EUR	IT	341046078	PocketSword.niccarter
Nic Carter	PocketSword	1	9	0	USD	0	USD	EG	341046078	PocketSword.niccarter
Nic Carter	PocketSword	1	8	0	EUR	0	NOK	NO	341046078	PocketSword.niccarter
Nic Carter	PocketSword	1	8	0	EUR	0	SEK	SE	341046078	PocketSword.niccarter
Nic Carter	PocketSword	1	8	0	USD	0	USD	AE	341046078	PocketSword.niccarter
Nic Carter	PocketSword	1	7	0	USD	0	MXN	MX	341046078	PocketSword.niccarter
Nic Carter	PocketSword	1	7	0	USD	0	USD	GT	341046078	PocketSword.niccarter
Nic Carter	PocketSword	1	7	0	USD	0	USD	IL	341046078	PocketSword.niccarter
Nic Carter	PocketSword	1	6	0	EUR	0	EUR	ES	341046078	PocketSword.niccarter
Nic Carter	PocketSword	1	6	0	EUR	0	EUR	FI	341046078	PocketSword.niccarter
Nic Carter	PocketSword	1	6	0	EUR	0	EUR	NL	341046078	PocketSword.niccarter
Nic Carter	PocketSword	1	6	0	USD	0	USD	ID	341046078	PocketSword.niccarter
Nic Carter	PocketSword	1	6	0	USD	0	USD	IN	341046078	PocketSword.niccarter
Nic Carter	PocketSword	1	5	0	USD	0	USD	JM	341046078	PocketSword.niccarter
Nic Carter	PocketSword	1	4	0	EUR	0	EUR	IE	341046078	PocketSword.niccarter
Nic Carter	PocketSword	1	4	0	USD	0	USD	RU	341046078	PocketSword.niccarter
Nic Carter	PocketSword	1	3	0	EUR	0	EUR	CZ	341046078	PocketSword.niccarter
Nic Carter	PocketSword	1	3	0	EUR	0	EUR	RO	341046078	PocketSword.niccarter
Nic Carter	PocketSword	1	3	0	USD	0	USD	BR	341046078	PocketSword.niccarter
Nic Carter	PocketSword	1	3	0	USD	0	USD	CL	341046078	PocketSword.niccarter
Nic Carter	PocketSword	1	3	0	USD	0	USD	CN	341046078	PocketSword.niccarter
Nic Carter	PocketSword	1	3	0	USD	0	USD	QA	341046078	PocketSword.niccarter
Nic Carter	PocketSword	1	3	0	USD	0	USD	TW	341046078	PocketSword.niccarter
Nic Carter	PocketSword	1	2	0	EUR	0	DKK	DK	341046078	PocketSword.niccarter
Nic Carter	PocketSword	1	2	0	EUR	0	EUR	BE	341046078	PocketSword.niccarter
Nic Carter	PocketSword	1	2	0	USD	0	USD	CO	341046078	PocketSword.niccarter
Nic Carter	PocketSword	1	2	0	USD	0	USD	LB	341046078	PocketSword.niccarter
Nic Carter	PocketSword	1	1	0	EUR	0	EUR	AT	341046078	PocketSword.niccarter
Nic Carter	PocketSword	1	1	0	EUR	0	EUR	EE	341046078	PocketSword.niccarter
Nic Carter	PocketSword	1	1	0	EUR	0	EUR	HU	341046078	PocketSword.niccarter
Nic Carter	PocketSword	1	1	0	EUR	0	EUR	LV	341046078	PocketSword.niccarter
Nic Carter	PocketSword	1	1	0	EUR	0	EUR	SK	341046078	PocketSword.niccarter
Nic Carter	PocketSword	1	1	0	USD	0	USD	DO	341046078	PocketSword.niccarter
Nic Carter	PocketSword	1	1	0	USD	0	USD	EC	341046078	PocketSword.niccarter
Nic Carter	PocketSword	1	1	0	USD	0	USD	MO	341046078	PocketSword.niccarter
Nic Carter	PocketSword	1	1	0	USD	0	USD	SA	341046078	PocketSword.niccarter
Nic Carter	PocketSword	1	1	0	USD	0	USD	SV	341046078	PocketSword.niccarter
Nic Carter	PocketSword	1	1	0	USD	0	USD	VE	341046078	PocketSword.niccarter
